Year,City,Country,Continent
2022,Beijing,China,Asia
2018,Pyeongchang,South Korea,Asia
2014,Sochi,Russia,Asia
2010,Vancouver,Canada,North America
2006,Turin,Italy,Europe
2002,Salt Lake City,United States,North America
1998,Nagano,Japan,Asia
1994,Lillehammer,Norway,Europe
1992,Albertville,France,Europe
1988,Calgary,Canada,North America
1984,Sarajevo,Yugoslavia,Europe
1980,Lake Placid,United States,North America
1976,Innsbruck,Austria,Europe
1972,Sapporo,Japan,Asia
1968,Grenoble,France,Europe
1964,Innsbruck,Austria,Europe
1960,Squaw Valley,United States,North America
1956,Cortina d'Ampezzo,Italy,Europe
1952,Oslo,Norway,Europe
1948,St.Moritz,Switzerland,Europe
1936,Garmisch Partenkirchen,Germany,Europe
1932,Lake Placid,United States,North America
1928,St.Moritz,Switzerland,Europe
1924,Chamonix,France,Europe